zip,lat,lon,state
35452,33.2934,-87.6888,AL
49649,44.5756,-85.5262,MI
50133,40.6861,-94.0607,IA
50427,42.8349,-93.2226,IA
61839,40.1107,-88.6392,IL
62353,39.9803,-90.7414,IL
68786,42.4973,-97.5576,NE
70518,30.1219,-91.9502,LA
98624,46.3142,-124.0282,WA
1844,42.728,-71.181,MA
18623,41.6662,-76.1426,PA
19420,,,
20509,38.8987,-77.0356,DC
22938,37.8475,-78.7565,VA
26507,39.6808,-79.8365,WV
26836,38.9907,-78.9745,WV
38552,36.2028,-85.8264,TN
38567,36.1197,-85.9023,TN
49074,42.2454,-85.5299,MI
80022,39.8259,-104.9113,CO
92103,32.7466,-117.1636,CA
95682,38.6465,-120.9641,CA
5875,44.7481,-72.1762,VT
14709,42.3263,-77.9947,NY
19383,39.961,-75.608,PA
33126,25.7763,-80.2919,FL
47443,38.9717,-87.1016,IN
48464,43.2183,-83.4242,MI
49406,42.6369,-86.2022,MI
80206,39.7331,-104.9524,CO
82605,42.8666,-106.3131,WY
94230,38.5816,-121.4944,CA
99922,55.2087,-132.8259,AK
14804,42.316,-77.778,NY
20398,38.8951,-77.0364,DC
24963,37.4147,-80.7686,WV
29307,34.9839,-81.8313,SC
40619,38.2341,-84.8748,KY
40844,37.0773,-83.3916,KY
58573,46.0979,-100.2119,ND
65279,38.9756,-92.5079,MO
70763,30.0352,-90.7374,LA
21641,38.9206,-75.9388,MD
26678,38.1821,-80.9108,WV
32204,30.3189,-81.6854,FL
37729,36.5086,-84.0454,TN
45350,40.3243,-84.5737,OH
47842,39.6591,-87.4208,IN
48044,42.6442,-82.8985,MI
54552,45.9363,-90.4246,WI
75846,31.3739,-96.1918,TX
77986,29.4876,-96.7946,TX
92382,34.2102,-117.1109,CA
2266,42.3584,-71.0598,MA
7933,40.6877,-74.4681,NJ
22315,38.7596,-77.1485,VA
32408,30.1655,-85.7116,FL
38924,33.311,-90.2316,MS
43532,41.4514,-83.9859,OH
62401,39.1217,-88.5611,IL
67156,37.2416,-96.98,KS
68845,40.7514,-99.1291,NE
74652,36.7819,-96.6607,OK
76204,33.2074,-97.1163,TX
84743,38.2158,-112.2049,UT
96807,21.3062,-157.8585,HI
11226,40.6467,-73.957,NY
18913,40.3865,-75.0627,PA
20301,38.8894,-77.0311,DC
28658,35.6498,-81.2425,NC
33897,28.3112,-81.6643,FL
39552,30.4411,-88.6345,MS
49449,43.8237,-86.3868,MI
54301,44.482,-88.0205,WI
54480,45.0792,-90.2829,WI
55144,45.0059,-93.1059,MN
56145,44.0737,-95.1547,MN
62810,38.2153,-88.7558,IL
89833,40.3995,-115.2312,NV
15460,39.8065,-79.9098,PA
18252,40.7983,-75.9735,PA
18455,41.8867,-75.356,PA
24069,36.5927,-79.6574,VA
27571,35.9156,-78.4658,NC
32254,30.3415,-81.7358,FL
33132,25.7867,-80.18,FL
38130,35.2017,-89.9715,TN
39058,32.3415,-90.3218,MS
43551,41.5429,-83.5927,OH
50641,42.6076,-91.9105,IA
58643,46.3254,-103.88,ND
72011,34.5091,-92.4828,AR
87037,36.1598,-107.7664,NM
3581,44.4048,-71.1548,NH
7505,40.9166,-74.174,NJ
46970,40.7492,-86.068,IN
49047,41.991,-86.1168,MI
73503,34.6595,-98.4004,OK
85253,33.5494,-111.9565,AZ
88008,31.8394,-106.6821,NM
93276,35.2992,-119.3584,CA
1937,42.5862,-70.9745,MA
11716,40.7678,-73.1163,NY
12232,42.6526,-73.7562,NY
19196,40.0018,-75.1179,PA
27807,35.8072,-78.0892,NC
38671,34.9771,-89.9992,MS
44802,41.0463,-83.377,OH
49090,42.4041,-86.2542,MI
62668,39.5723,-90.2379,IL
64028,39.2839,-94.8302,MO
68328,40.4724,-96.8555,NE
73164,35.5514,-97.4075,OK
85215,33.4707,-111.7188,AZ
97041,45.4929,-121.5983,OR
98674,45.9219,-122.7126,WA
14126,43.3378,-78.7148,NY
28310,35.0506,-78.8038,NC
