Date/Time,File total (kW-hourly),Percent of Total Energy Usage
 01/03  14:00:00,119.82483579739853,8.668798175346646e-05
 01/03  15:00:00,119.18132368027203,8.62224291299526e-05
 01/03  16:00:00,128.1218637350407,9.269051538249182e-05
 01/03  17:00:00,161.6039572670715,0.00011691333274633217
 01/03  18:00:00,225.81652929166796,0.0001633682954005119
 01/03  19:00:00,260.5156443087013,0.00018847157411097876
 01/03  20:00:00,255.8214542433778,0.00018507553471712462
 01/03  21:00:00,238.60751070300358,0.00017262200608424367
 01/03  22:00:00,220.09277679553065,0.00015922741301461438
 01/03  23:00:00,183.06250264763972,0.00013243764352904733
 01/03  24:00:00,146.67749833387873,0.00010611469829769165
 01/04  01:00:00,111.31283406927982,8.052992407216689e-05
 01/04  02:00:00,98.58994039288429,7.132547186047761e-05
 01/04  03:00:00,94.91385829613361,6.86659886606326e-05
 01/04  04:00:00,95.23000406565009,6.8894706175803e-05
 01/04  05:00:00,96.49580265184149,6.981045560298231e-05
 01/04  06:00:00,104.4126176404295,7.553792193923233e-05
 01/04  07:00:00,135.47043018056354,9.800687897026023e-05
 01/04  08:00:00,171.05271686563802,0.0001237490934149999
 01/04  09:00:00,160.01066184097743,0.00011576065380539325
 01/04  10:00:00,134.94633796722525,9.762772137805772e-05
 01/04  11:00:00,135.50427583002656,9.803136480429923e-05
 01/04  12:00:00,130.4166393494988,9.4350684288801e-05
 01/04  13:00:00,125.2617464377484,9.062134671282082e-05
 01/04  14:00:00,120.33096649256954,8.705414497977823e-05
 01/04  15:00:00,119.42154875836722,8.639622137467432e-05
 01/04  16:00:00,128.08961362222135,9.26671838488158e-05
 01/04  17:00:00,161.68280538337137,0.0001169703758795158
 01/04  18:00:00,226.16966264127808,0.00016362377179790337
 01/04  19:00:00,260.6048970433079,0.00018853614452643176
 01/04  20:00:00,255.91193885111457,0.00018514099633843423
 01/04  21:00:00,238.55834804158107,0.0001725864390678736
 01/04  22:00:00,219.92464481181406,0.0001591057769427633
 01/04  23:00:00,182.68616957114907,0.00013216538315288285
 01/04  24:00:00,146.36323545325538,0.00010588734296955808
 01/05  01:00:00,110.78944439810473,8.015127473822169e-05
 01/05  02:00:00,98.06296914170888,7.094423141142967e-05
 01/05  03:00:00,94.38389451674662,6.82825832494608e-05
 01/05  04:00:00,94.68571290614412,6.850093553727189e-05
 01/05  05:00:00,95.8907367544771,6.937271712313114e-05
 01/05  06:00:00,103.6679542247055,7.499919081420994e-05
 01/05  07:00:00,134.14810506531353,9.705023509338683e-05
 01/05  08:00:00,170.76626818153423,0.00012354186043082223
 01/05  09:00:00,159.22996228930634,0.00011519585212600991
 01/05  10:00:00,134.03908877687667,9.697136661875086e-05
 01/05  11:00:00,134.12608412427534,9.703430391416e-05
 01/05  12:00:00,129.33745407180675,9.356994135651475e-05
 01/05  13:00:00,124.28096403966539,8.99117939221715e-05
 01/05  14:00:00,119.41163675717533,8.638905047915215e-05
 01/05  15:00:00,118.60551186770532,8.580585468969538e-05
 01/05  16:00:00,127.480109964791,9.222623484536103e-05
 01/05  17:00:00,161.1898382310799,0.00011661373589567174
 01/05  18:00:00,225.86481988432075,0.00016340323151360474
 01/05  19:00:00,260.1615423278595,0.00018821539695162938
 01/05  20:00:00,255.6589542114934,0.00018495797311392952
 01/05  21:00:00,238.57052889171834,0.00017259525137550092
 01/05  22:00:00,220.05686813349246,0.0001592014346820021
 01/05  23:00:00,182.91382616654553,0.00013233008265492227
 01/05  24:00:00,146.74554088719384,0.00010616392408282197
 01/06  01:00:00,111.24322753522321,8.047956681597649e-05
 01/06  02:00:00,98.60014704827852,7.133285592531434e-05
 01/06  03:00:00,94.81741253875072,6.85962144105736e-05
 01/06  04:00:00,94.87402157572593,6.863716855110492e-05
 01/06  05:00:00,96.08201174314802,6.951109613794436e-05
 01/06  06:00:00,104.05257469155,7.527744675163681e-05
 01/06  07:00:00,134.7235487624752,9.746654321839058e-05
 01/06  08:00:00,170.26592617362783,0.00012317988506433628
 01/06  09:00:00,159.42496740957804,0.00011533692972645436
 01/06  10:00:00,134.5777645656382,9.736107478431138e-05
 01/06  11:00:00,134.83876008865704,9.754989352949579e-05
 01/06  12:00:00,129.94073596636468,9.400638918904973e-05
 01/06  13:00:00,124.72915305212518,9.023603889756133e-05
 01/06  14:00:00,120.18267622536094,8.694686351435874e-05
 01/06  15:00:00,119.39557243842927,8.637742865333389e-05
 01/06  16:00:00,128.1054251156167,9.267862276664806e-05
 01/06  17:00:00,161.58599976728252,0.00011690034128756082
 01/06  18:00:00,225.98534464457052,0.00016349042585981724
 01/06  19:00:00,260.1503198278762,0.00018820727796805387
 01/06  20:00:00,255.5393624465415,0.00018487145374864917
 01/06  21:00:00,238.37394728765273,0.00017245303325858969
 01/06  22:00:00,219.81500882345435,0.00015902646014257573
 01/06  23:00:00,182.53879530810664,0.0001320587643760614
 01/06  24:00:00,145.9448513892336,0.00010558466055930061
 01/07  01:00:00,111.32334660297214,8.053752942645624e-05
 01/07  02:00:00,98.0232064691312,7.091546487223983e-05
 01/07  03:00:00,93.8169568916605,6.787242889229632e-05
 01/07  04:00:00,93.81150193018291,6.786848246835267e-05
 01/07  05:00:00,95.0817391822014,6.87874430744138e-05
 01/07  06:00:00,102.88405852444468,7.443207686234333e-05
 01/07  07:00:00,133.88609750560119,9.686068418430804e-05
 01/07  08:00:00,171.52002583633904,0.00012408717083656095
 01/07  09:00:00,162.74491876615755,0.00011773876804908871
 01/07  10:00:00,140.3157148503559,0.00010151222864380788
 01/07  11:00:00,142.04247305365803,0.00010276146201537369
 01/07  12:00:00,138.2139730419758,9.99917111791029e-05
 01/07  13:00:00,133.01577806222684,9.62310464675121e-05
 01/07  14:00:00,127.52035872982955,9.225535305099881e-05
 01/07  15:00:00,125.82850038640044,9.103136818818944e-05
 01/07  16:00:00,134.05178063731765,9.698054861978599e-05
 01/07  17:00:00,167.10285607053,0.00012089154340663602
 01/07  18:00:00,230.8987407987163,0.00016704505118706
 01/07  19:00:00,264.9200825632413,0.00019165799085424395
 01/07  20:00:00,259.9086878335284,0.00018803246788149974
 01/07  21:00:00,242.56904151071052,0.0001754879988318152
 01/07  22:00:00,223.93940292227543,0.00016201027729536728
 01/07  23:00:00,185.76034415421816,0.0001343894128241161
 01/07  24:00:00,147.67969666342916,0.00010683974456983774
 01/08  01:00:00,110.92781588380576,8.02513804028598e-05
 01/08  02:00:00,97.67679071410379,7.066484835813331e-05
